!        sou      planck        flux       theta        Diam        mass
!
 16482c2pol1   2.433e-13       0.018       1.178     0.02114       3.663
 16482c2pol2   2.433e-13        0.05        1.84     0.03302       10.18
 16061c1pol1   4.492e-13      0.0069      0.6383     0.01114      0.7199
 16061c1pol2   4.492e-13       0.045       1.748     0.03052       4.695
 16061c1pol3   4.492e-13       0.012       1.046     0.01827       1.252
 16061c1pol4   4.492e-13       0.012      0.9373     0.01637       1.252
 16061c1pol5   4.492e-13       0.044       1.655     0.02889       4.591
 16061c1pol6   4.492e-13       0.073       1.576     0.02751       7.616
 16061c1pol7   4.492e-13        0.05       1.296     0.02264       5.217
 16061c1pol8   4.492e-13       0.052       1.373     0.02397       5.425
 16061c1pol9   4.492e-13       0.045       1.662     0.02902       4.695
 16061c1pol10   4.492e-13       0.084       1.784     0.03115       8.764
 16061c1pol11   4.492e-13       0.052       1.819     0.03177       5.425
 16061c1pol12   4.492e-13       0.032       1.722     0.03007       3.339
