!        sou        flux       theta        Diam  peakflux
!
        pol1    0.004849       0.812     0.01418  1.63e-03
        pol2    0.001569       0.461    0.008049  1.52e-03
        pol3    0.009376       1.102     0.01923  1.6e-03
        pol4    0.003178      0.5922     0.01034  1.15e-03
        pol5     0.00677      0.8527     0.01489  2.9e-03
        pol6    0.002839      0.7116     0.01242  2.2e-03
        pol7    0.002793      0.5339    0.009322  2.7e-03
        pol8     0.00165      0.5183     0.00905  8.6e-03
        pol9      0.0146      0.8358     0.01459  1.7e-02
       pol10      0.1641       1.091     0.01905  0.1
       pol11      0.0297      0.9659     0.01687  1.6e-03
       pol12      0.1005      0.9747     0.01702  8.4e-02
       pol13    0.002019      0.5562    0.009712  1.2e-03
