!        sou        flux       theta        Diam  peakflux
!
        pol1     0.00486      0.8466     0.01478  1.23e-03
        pol2    0.006216      0.8965     0.01565  1.5e-03
        pol3    0.003248      0.6896     0.01204  1.2e-03
        pol4      0.0124       1.224     0.02138  2.2e-03
        pol5    0.002481      0.6722     0.01174  2.5e-03
        pol6    0.006746      0.9019     0.01575  1.8e-03
        pol7    0.002513      0.6291     0.01098  1.3e-03
        pol8      0.0382       1.355     0.02365  8.5e-03
        pol9      0.2791       1.463     0.02555  0.12
       pol10      0.0948       0.934     0.01631  6.5e-02
       pol11     0.00774      0.9237     0.01613  1.8e-03
       pol12      0.0134       1.033     0.01804  5.0e-03
