!        sou        flux       theta        Diam        mass
!
        pol1    0.002844      0.6747     0.01178      0.2967
        pol2    0.002402      0.6109     0.01067      0.2506
        pol3     0.04065       1.077      0.0188       4.241
        pol4    0.003934      0.6739     0.01177      0.4104
        pol5    0.006979      0.3285    0.005735      0.7282
        pol6    0.002033       0.522    0.009114      0.2122
        pol7     0.01062      0.8265     0.01443       1.108
        pol8    0.008225      0.6916     0.01208      0.8581
        pol9    0.002096      0.5794     0.01012      0.2187
       pol10     0.05494       1.151     0.02009       5.732
       pol11    0.001088      0.3954    0.006903      0.1135
       pol12    0.001818      0.5406    0.009439      0.1897
