!        sou        flux       theta        Diam        mass
!
        pol1   0.0005766      0.3456    0.006034     0.06016
        pol2    0.000961      0.3761    0.006567      0.1003
        pol3     0.01013      0.9702     0.01694       1.057
        pol4    0.002348      0.6046     0.01056       0.245
        pol5     0.05945      0.9437     0.01648       6.203
        pol6     0.01519      0.7785     0.01359       1.585
        pol7      0.1276        1.62     0.02829       13.31
        pol8     0.01247       1.074     0.01875       1.301
        pol9    0.004854      0.6908     0.01206      0.5064
       pol10    0.001877      0.5442    0.009502      0.1958
       pol11    0.001832      0.4977     0.00869      0.1912
