!        sou        flux       theta        Diam        mass
!
        pol1   0.0008193      0.3783    0.006605     0.08549
        pol2    0.002752      0.6317     0.01103      0.2871
        pol3    0.001425       0.491    0.008573      0.1487
        pol4     0.00487      0.8056     0.01407      0.5081
        pol5    0.001423       0.507    0.008852      0.1485
        pol6    0.005229      0.7034     0.01228      0.5456
        pol7     0.01396      0.9165       0.016       1.457
        pol8    0.009997      0.7939     0.01386       1.043
        pol9     0.00265       0.566    0.009882      0.2765
       pol10    0.004152      0.5747     0.01003      0.4332
       pol11     0.09637       1.297     0.02264       10.05
       pol12    0.001189      0.4294    0.007497      0.1241
       pol13    0.003048      0.6326     0.01104      0.3181
       pol14    0.008272      0.6924     0.01209      0.8631
       pol15    0.001117      0.4555    0.007954      0.1165
       pol16    0.003106      0.6661     0.01163      0.3241
!
! mean median mass 1.05 0.32
! mean median diam 0.012 0.011
! mean median flux 0.01 0.003
