!        sou        flux       theta        Diam        mass
!
        pol1     0.00647      0.8697     0.01518       0.675
        pol2    0.002673      0.5875     0.01026      0.2789
        pol3    0.004557      0.7953     0.01389      0.4755
        pol4    0.002011      0.5482     0.009572      0.2098
        pol5    0.003653      0.6091     0.01063      0.3811
        pol6      0.0785       1.197     0.02089        8.19
        pol7     0.08341       1.553     0.02711       8.703
        pol8     0.06105       1.095     0.01913        6.37
        pol9     0.01808        1.09     0.01902       1.886
!
! mean median mass 3.02 0.7
! mean median diam 0.029 0.006
! mean median flux 0.016 0.015
